DeriskingShock,PKC_USA,TCW_USA,L_USA
0,-0.000261918048988008,0.0357511438595147,-0.000261918048988008
5,-0.000342367045992498,0.0352659949546371,-2.31083213487797e-05
10,-0.0003577768661185,0.0349443308454512,0.000197119064264884
15,-0.000339146665086498,0.0347313328152388,0.000390575730619606
20,-0.000305010407663994,0.034590302956451,0.000554990171866233
25,-0.000265785008422989,0.0344969820043052,0.000691693091345479
30,-0.000226910020587001,0.0344354036362993,0.000803812429673195
35,-0.000190940480410504,0.0343950472771783,0.000895070805838417
40,-0.000158846627991996,0.0343689472697065,0.000969108557754901
45,-0.000130777014991007,0.034352461335005,0.00102916913423306
50,-0.000106489782365007,0.0343424731502083,0.00107799366184759
